Name,County,Address,Coordinates,Description,Verified_Access
ARIPEKA SPRING #2,Hernando,"Hernando County, Florida","28.43529493, -82.65893223",Tidal influence: Clear green w/visible boil,Not Verified
ART SPRING,Citrus,"Citrus County, Florida","28.88459167, -82.58498611",SWFWMD was the only source for the location of this spring.  Art Spring is new for 2015 and located to the east of FWS Spring Complex and near intersection  SE Cutler Spur Blvd and SW Paradise Point Rd,County Park
AUCILLA SPRING,Jefferson,"Jefferson County, Florida","30.34029995, -83.99052558",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
BAIRD SPRING #1,Citrus,"Citrus County, Florida","28.70744069, -82.57806473",Located where the head spring area is noted on topo 110816 djh;,Not Verified
BAIRD SPRING #2,Citrus,"Citrus County, Florida","28.7083008, -82.57855566",Natural spring in Florida,Not Verified
BAIRD SPRING #3,Citrus,"Citrus County, Florida","28.70912639, -82.57964417",Natural spring in Florida,Not Verified
BAIRD SPRING #4,Citrus,"Citrus County, Florida","28.70925917, -82.580275",Natural spring in Florida,Not Verified
BALTZELL SPRING #1,Jackson,"Jackson County, Florida","30.83072185, -85.23414052","Baltzell Spring is a group of at least 4 spring vents, Spring is listed in FGS B66 and NWFWMD WRSR 04-01",Not Verified
BALTZELL SPRING #2,Jackson,"Jackson County, Florida","30.83064125, -85.23428273","Baltzell Spring is a group of at least 4 spring vents, Spring is listed in FGS B66 and NWFWMD WRSR 04-01",Not Verified
BALTZELL SPRING #3,Jackson,"Jackson County, Florida","30.83003395, -85.23466886","Baltzell Spring is a group of at least 4 spring vents, Spring is listed in FGS B66 and NWFWMD WRSR 04-01",Not Verified
BAMBOO SPRING,Putnam,"Putnam County, Florida","29.515847, -81.866716",BAMBOO SPRING (ABBOTT 1971 - UNNAMED #5) - RODMAN RESERVOIR,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88176944, -82.5949",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88260556, -82.59437778",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88268056, -82.59451944",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88273611, -82.59456944",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88280278, -82.59443056",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS EAST COMPLEX,Citrus,"Citrus County, Florida","28.88282778, -82.59458611",Complex has 6 main vent areas on the east end of Banana Island; vents located on or near water's edge; very small vents with low discharge,Not Verified
BANANA ISLAND SPRINGS NORTH COMPLEX,Citrus,"Citrus County, Florida","28.88457778, -82.59642222",Complex has 5 to 8 vents scattered over a moderately sized area; vents irregular in shape due to fractured limestone; discharge low to moderate,Not Verified
BANANA ISLAND SPRINGS NORTH COMPLEX,Citrus,"Citrus County, Florida","28.88485, -82.59613611",Complex has 5 to 8 vents scattered over a moderately sized area; vents irregular in shape due to fractured limestone; discharge low to moderate,Not Verified
BANANA ISLAND SPRINGS NORTH COMPLEX,Citrus,"Citrus County, Florida","28.88497778, -82.59613889",Complex has 5 to 8 vents scattered over a moderately sized area; vents irregular in shape due to fractured limestone; discharge low to moderate,Not Verified
BANANA ISLAND SPRINGS NORTH COMPLEX,Citrus,"Citrus County, Florida","28.88675833, -82.59488333",Complex has 5 to 8 vents scattered over a moderately sized area; vents irregular in shape due to fractured limestone; discharge low to moderate,Not Verified
BANANA ISLAND SPRINGS WEST COMPLEX,Citrus,"Citrus County, Florida","28.88211944, -82.59684167",Complex has 3 main vents or boils on west end of Banana Island;  discharge volume overall is low,Not Verified
BANANA ISLAND SPRINGS WEST COMPLEX,Citrus,"Citrus County, Florida","28.88455556, -82.59593056",Complex has 3 main vents or boils on west end of Banana Island;  discharge volume overall is low,Not Verified
BANANA SPRING,Citrus,"Citrus County, Florida","28.80100984, -82.58817774",Weir backs up the flow to create an aquatic turtle pen.  Spring run flows into Alligator Spring Bulletin 66 djh 041415,Not Verified
BAPTIZING SPRING,Suwannee,"Suwannee County, Florida","30.13386261, -83.13415639",Karst Window     Circular pool with vent and syphon in the pool.,Not Verified
BARKING SPRING,WS,"WS County, Florida","30.44973685, -85.53162832",Spring is referenced in NWFWMD WRSR 04-02,Not Verified
BARREL SPRING (JACKSON),Jackson,"Jackson County, Florida","30.59243296, -85.17068002",Spring is listed in FGS b66 and NWFWMD WRSR 0401 reports.,Not Verified
BARREL SPRING (ORANGE),Orange,"Orange County, Florida","28.71138889, -81.47166667",Natural spring in Florida,Not Verified
BATHTUB SPRING (SUWANNEE),Suwannee,"Suwannee County, Florida","30.09172626, -83.09833742",Spring,Not Verified
BATHTUB SPRING (WASHINGTON),Washington,"Washington County, Florida","30.45607217, -85.53295002",Spring is featured in FGS B66 and NWFWMD WRSR04-02 Econfina Creek Spring Inventory,Not Verified
BEAR CREEK RISE,Franklin,"Franklin County, Florida","29.98175044, -84.46317137","Bear Creek Rise is a river rise mentioned in FGS Bulletin 31R and 66, it is tidally influenced, typically tannic and turbid but there are reports of it being clearer in dry conditions.",Not Verified
BEAR SPRING (CITRUS),Citrus,"Citrus County, Florida","28.80179718, -82.58725556",Seep     No flow,Not Verified
BEAR SPRING (LAKE),Lake,"Lake County, Florida","28.65170537, -81.71688302",Spring,Not Verified
BEAUFORD SPRING (HERNANDO),Hernando,"Hernando County, Florida","28.44944444, -82.66611111",Beauford Spring is not same as Buford Spring and has different location SWFWMD,Not Verified
BEAVER CREEK SPRING,Taylor,"Taylor County, Florida","29.76594748, -83.33504968","Information on this spring can be found in FGS bulletin 66 Pg. 627, and SRWMD WR00-03 under the name TAY76992.",Not Verified
BECKTON SPRING,Washington,"Washington County, Florida","30.6486469, -85.69366308",Spring is listed in FGS B66 and NWFWMD WRSR 2008-01,Not Verified
BECKY SPRINGS,Clay,"Clay County, Florida","30.0853, -81.8961",On Black Creek,Not Verified
BEECHER SPRING,Putnam,"Putnam County, Florida","29.44865778, -81.64686278",Natural spring in Florida,Not Verified
BELCHER SPRING,Citrus,"Citrus County, Florida","28.79674639, -82.58628556",Natural spring in Florida,Not Verified
BELL SPRING (GILCHRIST),Gilchrist,"Gilchrist County, Florida","29.59729974, -82.94144963",Spring is on private property; Information on spring can be found in the FGS Bulletin 66 on pg. 456 and SRWMD report WR99-02.,Not Verified
BELL SPRINGS (COLUMBIA),Columbia,"Columbia County, Florida","30.32822028, -82.68809028",Natural spring in Florida,Not Verified
BELTONS MILLPOND 3 MAIN BOIL,Sumter,"Sumter County, Florida","28.75824222, -82.06258472",Natural spring in Florida,Not Verified
BELTONS MILLPOND HEAD SPRING 1,Sumter,"Sumter County, Florida","28.7573775, -82.06238778",Natural spring in Florida,Not Verified
BELTONS MILLPOND HEAD SPRING 2,Sumter,"Sumter County, Florida","28.75763639, -82.06210333",Natural spring in Florida,Not Verified
BELTONS MILLPOND HEAD SPRING 2A,Sumter,"Sumter County, Florida","28.75788694, -82.06341167",Natural spring in Florida,Not Verified
BELTONS MILLPOND HEAD SPRING 4,Sumter,"Sumter County, Florida","28.758435, -82.06319389",Natural spring in Florida,Not Verified
BELTONS MILLPOND MAIN SPRING,Sumter,"Sumter County, Florida","28.75677611, -82.06815667",Alternate SWFWMD Site ID '284524082040501; Discharge 36.5 CFS - this is the combined discharge of five springs at Beltons Millpond 1998.,Not Verified
BELTONS MILLPOND SPRING 2B,Sumter,"Sumter County, Florida","28.75811, -82.06251361",Natural spring in Florida,Not Verified
BETEEJAY LOWER SPRING,Hernando,"Hernando County, Florida","28.69220965, -82.5928771",Beteejay Lower Spring,Not Verified
BETEEJAY SPRING,Hernando,"Hernando County, Florida","28.69038694, -82.59150306",Natural spring in Florida,Not Verified
BETTY SPRING,Suwannee,"Suwannee County, Florida","29.91477681, -82.83995607",Natural spring in Florida,Not Verified
BIG AWESOME,Columbia,"Columbia County, Florida","29.85359246, -82.71950184",Spring type is estavelle.  SRWMD 070115;,Not Verified
BIG BLUE SPRING (JEFFERSON),Jefferson,"Jefferson County, Florida","30.32773384, -83.98482753",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,County Park
BIG HOLE SPRING (SUMTER),Sumter,"Sumter County, Florida","28.75917917, -82.09859444",Natural spring in Florida,Not Verified
BIG JACK HOLE SINK,Collier,"Collier County, Florida","25.84272, -82.1519","Submarine spring discharging below sea level in Gulf of Mexico, Collier County, Marco Island, coastal saltwater DJH 013121;",Not Verified
BIG KING SPRING (LEVY),Levy,"Levy County, Florida","29.11642316, -82.64226083",Spring     Discharge estimated by SWFWMD.  Spring usually clear.,Not Verified
BIG SPRING (TAYLOR),Taylor,"Taylor County, Florida","29.9742692, -83.73883231",Originally cataloged by SRWMD - Hornsby 6/6/1999; Spring is located 2000 ft eastward of other simularly named springs e.g. Big Spring Creek; djh 0510521; Generic Karst Spring; Located on foot by: Karlee Fowler and Tom Greenhalgh,Not Verified
BIG SPRING CREEK 1,Taylor,"Taylor County, Florida","29.97159717, -83.74543058",Natural spring in Florida,Not Verified
BIG SPRING CREEK 2,Taylor,"Taylor County, Florida","29.97139995, -83.74530002",Natural spring in Florida,Not Verified
BIG SPRING CREEK 3,Taylor,"Taylor County, Florida","29.97119995, -83.74540003",Spring was cataloged by SRWMD on 7/7/2004 by Hornsby,Not Verified
BIG SPRING CREEK 5 (TAYLOR),Taylor,"Taylor County, Florida","29.9699086, -83.74540877",Spring,Not Verified
BIRDS UNDERWATER SPRING,Citrus,"Citrus County, Florida","28.898903, -82.59654383",Complex has two vents at a large fracture; located at head of Millers Creek; discharge low,Not Verified
BISHOP SPRING,Taylor,"Taylor County, Florida","29.98259995, -83.76070002",Natural spring in Florida,Not Verified
BLACK SPRINGS (CITRUS),Citrus,"Citrus County, Florida","28.87752222, -82.59916667",Spring     SP has five boils and one large fissure.          Film,Not Verified
BLACKWATER SPRING MINOR #1,Lake,"Lake County, Florida","28.88820556, -81.49694167",Natural spring in Florida,Not Verified
BLACKWATER SPRING MINOR #2,Lake,"Lake County, Florida","28.88841667, -81.49726389",Natural spring in Florida,Not Verified
BLACKWATER SPRING MINOR #3,Lake,"Lake County, Florida","28.88833333, -81.49777778",Natural spring in Florida,Not Verified
BLACKWATER SPRING MINOR #4,Lake,"Lake County, Florida","28.88813611, -81.49794444",Natural spring in Florida,Not Verified
BLACKWATER SPRINGS,Lake,"Lake County, Florida","28.88809041, -81.49745419",Spring     6 more smaller spring pools/boils to the west,Not Verified
BLIND CREEK UNNAMED SPRING,Hernando,"Hernando County, Florida","28.63606111, -82.59645556",Natural spring in Florida,Not Verified
BLIND SPRING,Hernando,"Hernando County, Florida","28.65786694, -82.63461694",Natural spring in Florida,Not Verified
BLUE ALGAE BOIL SPRING,Lake,"Lake County, Florida","28.87510459, -81.44064585",Spring     Blue-green algae denotes the name.,Not Verified
BLUE CREEK SPRING,Taylor,"Taylor County, Florida","29.84472495, -83.55778975",Natural spring in Florida,Not Verified
BLUE GROTTO SPRING (MARION),Marion,"Marion County, Florida","29.21525167, -82.04988667",Natural spring in Florida,Not Verified
BLUE HOLE SPRING (CITRUS),Citrus,"Citrus County, Florida","28.7987873, -82.58953839",Spring is located within the Homosassa Springs Wildlife Park;  FGS 2003 no boil observed but spring was flowing north to Homosassa River,State Park
BLUE HOLE SPRING (COLUMBIA),Columbia,"Columbia County, Florida","29.98052917, -82.75843889",Spring          Low Impact,State Park
BLUE HOLE SPRING (COLUMBIA),Columbia,"Columbia County, Florida","29.98085556, -82.75918056",Spring          Low Impact,State Park
BLUE HOLE SPRING (JACKSON),Jackson,"Jackson County, Florida","30.82014551, -85.2448953",Spring is listed in FGS B66 and NWFWMD WRSR 04-01,State Park
BLUE RUN SPRING (HERNANDO),Hernando,"Hernando County, Florida","28.68680622, -82.60143472",Natural spring in Florida,Not Verified
BLUE RUN SPRING (WASHINGTON),WS,"WS County, Florida","30.51443375, -85.84842882",Spring referenced in NWFWMD WRSR0502,Not Verified
BLUE SINK SPRING (SUWANNEE),Suwannee,"Suwannee County, Florida","30.33569028, -82.80844278",Natural spring in Florida,Not Verified
BLUEBERRY SPRING,Lake,"Lake County, Florida","28.8507318, -81.44485678",Spring,Not Verified
BLUEBIRD SPRING,Citrus,"Citrus County, Florida","28.78897222, -82.57955556",Natural spring in Florida,Not Verified
BLUEBIRD SPRINGS,Citrus,"Citrus County, Florida","28.78899452, -82.57951613",Natural spring in Florida,Not Verified
BLUFF SPRING (WASHINGTON),Washington,"Washington County, Florida","30.43785055, -85.54835913",This spring vent is located at the head of a run on the west side of the creek approximately 0.78 miles north of the Highway 20 bridge. Ground water discharges laterally from beneath a 25-foot high limestone bluff. The vent is on Water Management District land.,Not Verified
BLUFF SPRINGS (BAY),Bay,"Bay County, Florida","30.42526537, -85.54838777",Spring is featured in FGS B66 and NWFWMD WRSR 2004-02,Not Verified
BOARDWALK SPRING,Marion,"Marion County, Florida","29.24398861, -81.64629083",Natural spring in Florida,Not Verified
BOAT SPRING,Hernando,"Hernando County, Florida","28.43654959, -82.65651005",Spring     Tidally influenced,Not Verified
BOBHILL SPRING,Hernando,"Hernando County, Florida","28.43471058, -82.64110408",Natural spring in Florida,Not Verified
BONNET SPRING (SUWANNEE),Suwannee,"Suwannee County, Florida","30.12432222, -83.13818333",Natural spring in Florida,Not Verified
BOOKER SPRING,Dixie,"Dixie County, Florida","29.81943889, -82.93343056","Information on this spring can be found in FGS Bulletin 66 on pg. 452 for ""Unnamed Spring"". Cannot find any record of ""Booker Spring"" in this location.",Not Verified
BORDOM SPRING,Taylor,"Taylor County, Florida","29.94019995, -83.69150003",Natural spring in Florida,Not Verified
BOULDER SPRINGS,Lake,"Lake County, Florida","28.87165788, -81.45009874",Spring     Multiple Vents,Not Verified
BOULWARE SPRINGS,Alachua,"Alachua County, Florida","29.62097, -82.30724",Natural spring in Florida,Not Verified
BOYETTE SPRING,Hillsborough,"Hillsborough County, Florida","27.85366773, -82.27403336","Spring 1 mile downstream of Lake Grady Dam in the Bell Creek stream bed.  This is actually an abandoned borehole ""pseudo-spring"" according to Dave Dewitt SWFWMD. This spring is mentioned in FGS-B66 tables, SWFWMD is listed as source.",Not Verified
BRADLEY SPRING,Taylor,"Taylor County, Florida","29.70004721, -83.41113055","Spring closed to public. Information on spring can be found in FGS Bulletin 66, pg. 629; additional details located in SRWMD report WR00-03",Not Verified
BRANFORD BEND SPRING,Suwannee,"Suwannee County, Florida","29.96326402, -82.93358322",Natural spring in Florida,Not Verified
BRANFORD SPRING,Suwannee,"Suwannee County, Florida","29.95486806, -82.92840889",Natural spring in Florida,Not Verified
BRANTLEY SPRING,Suwannee,"Suwannee County, Florida","30.00805556, -82.98666667",Natural spring in Florida,Not Verified
BRIDAL CHAMBER SPRING,Marion,"Marion County, Florida","29.21477778, -82.05152778",USGS and DEP sampled this as a spring for water quality and biology and USGS pub describes it as one of the major springs at Silver Springs OFR_2006-1107,Not Verified
BRIGHT ANGEL SPRING,Putnam,"Putnam County, Florida","29.516572, -81.86209",Natural spring in Florida,Not Verified
BRUMBLEY SPRING,Jefferson,"Jefferson County, Florida","30.34482963, -83.98100928",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
BRUNSON LANDING SPRING,Washington,"Washington County, Florida","30.60922773, -85.75858058",Spring is listed in FGS B66 and NWFWMD WRSR 2008-01,Not Verified
BUBBLING SPRING,Marion,"Marion County, Florida","29.10123806, -82.4348475",Natural spring in Florida,Not Verified
BUCKHORN EAST SPRING,Hillsborough,"Hillsborough County, Florida","27.88907606, -82.30144169","Spring listed in FGS-B66, source listed as SWFWMD.",Not Verified
BUCKHORN MAIN SPRING,Hillsborough,"Hillsborough County, Florida","27.8893919, -82.30272141",Natural spring in Florida,Not Verified
BUCKHORN SOUTH SPRING,Hillsborough,"Hillsborough County, Florida","27.88690162, -82.3052103","Spring listed in FGS-B66, source listed as SWFWMD.",Not Verified
BUCKHORN SPRINGS #395,Hillsborough,"Hillsborough County, Florida","27.89397218, -82.29808336",Natural spring in Florida,Not Verified
BUCKHORN SPRINGS #396,Hillsborough,"Hillsborough County, Florida","27.89408329, -82.28505558",Natural spring in Florida,Not Verified
BUCKHORN SPRINGS #397,Hillsborough,"Hillsborough County, Florida","27.89064008, -82.2769881",Natural spring in Florida,Not Verified
BUCKHORN WEST SPRING,Hillsborough,"Hillsborough County, Florida","27.88920579, -82.30467197","Spring listed in FGS-B66, source listed as SWFWMD.",Not Verified
BUD MATHIS SPRING,Washington,"Washington County, Florida","30.98823146, -85.2443123",Spring is featured in NWFWMD WRSR 04-01,Not Verified
BUFORD HEAD SPRING (HERNANDO),Hernando,"Hernando County, Florida","28.63348694, -82.59047167",Natural spring in Florida,Not Verified
BUGG SPRING (LAKE),Lake,"Lake County, Florida","28.75198667, -81.90151722",Natural spring in Florida,Not Verified
BURNT OUT SPRING,Washington,"Washington County, Florida","30.68203329, -85.64601669",Spring listed in WRSR 2008-01 (Holmes Creek Report),Not Verified
BURNT SOCK SPRING,Washington,"Washington County, Florida","30.66698273, -85.66341336",Spring is listed in FGS B66 appendix B2 with a source of W. Shilring and NWFWMD WRSR 2008-01,Not Verified
BUZZARD ISLAND SPRING (CITRUS),Citrus,"Citrus County, Florida","28.89025556, -82.59822222",Single vent; near east of northern tip of Buzzard Island; discharge moderate djh 031521;,Not Verified
BUZZARD LOG SPRING (JEFFERSON),Jefferson,"Jefferson County, Florida","30.33013847, -83.98688936",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
BUZZARD SPRING (JACKSON),Jackson,"Jackson County, Florida","30.65726965, -85.19142942",Spring is listed in NWFWMD WRSR 0401 report.,Not Verified
Bay North Spring,FK,"FK County, Florida","29.92333851, -84.45417077","This spring is plotted on the ""known offshore springs in the Florida Big Bend Region"" map on page 27 of FGS Bulletin 66. Low location accuracy.",Not Verified
Big Spring Creek 4 - Tay69992,TY,"TY County, Florida","29.97079995, -83.74660003",Flow coming out of run; Located on boat by: Karlee Fowler and Tom Greenhalgh,Not Verified
Black Spring,JK,"JK County, Florida","30.69871367, -85.29453204",This spring is listed in FGS B66 and NWFWMD WRSR 04-01,Not Verified
CAMP GROUND SPRING (TAYLOR),Taylor,"Taylor County, Florida","30.06785142, -83.55382314","More information on this spring can be found in FGS Bulletin 66, pg. 630.",Not Verified
CAMP LE NO CHE SPRING,Lake,"Lake County, Florida","28.95242111, -81.5421895",Spring     Strong Sulphur odor          Film,Not Verified
CAMP SEMINOLE SPRINGS,Marion,"Marion County, Florida","29.50605348, -81.95145335",Well Augmented     Heart-shaped concrete pool fed by sand boil.,Not Verified
CAMPGROUND SPRING (GILCHRIST),Gilchrist,"Gilchrist County, Florida","29.89928994, -82.8660947",Spring,Not Verified
CANAL 485 SPRING 5,Sumter,"Sumter County, Florida","28.76875, -82.11701139",Natural spring in Florida,Not Verified
CANAL 485A SPRING 1B,Sumter,"Sumter County, Florida","28.76961194, -82.11800111",Natural spring in Florida,Not Verified
CANAL 485A SPRING 2,Sumter,"Sumter County, Florida","28.77025972, -82.11760417",Natural spring in Florida,Not Verified
CANAL SPRING,Hillsborough,"Hillsborough County, Florida","28.0347855, -82.34302296","Spring     Magnitude estimated by D. DeWitt, SWFWMD",Not Verified
CARLTON SPRING,Taylor,"Taylor County, Florida","30.058056, -83.58737",Spring is listed in FGS Bulletin 66 Appendix B2. Originally documented by SRWMD.,Not Verified
CASEY SPRING,Taylor,"Taylor County, Florida","29.94609995, -83.71080002",Natural spring in Florida,Not Verified
CASSIDY SPRINGS,Jefferson,"Jefferson County, Florida","30.33272106, -83.98903669",This spring is listed in FGS Bulleitn 66 and SRWMD WR-00-03.,Not Verified
CATFISH CONVENTION HALL SPRING,Marion,"Marion County, Florida","29.21544444, -82.04386111",Natural spring in Florida,Not Verified
CATFISH HOTEL SPRING (MARION),Marion,"Marion County, Florida","29.21538889, -82.04511111",Natural spring in Florida,Not Verified
CATFISH SPRING (CITRUS),Citrus,"Citrus County, Florida","28.89799972, -82.599",Natural spring in Florida,Not Verified
CATFISH SPRINGS (MARION),Putnam,"Putnam County, Florida","29.51527778, -81.86166667",Natural spring in Florida,Not Verified
CEDAR BLUE SPRING,Walton,"Walton County, Florida","30.98738884, -86.20513891",Natural spring in Florida,County Park
CEDAR COVE SPRINGS #G1,Citrus,"Citrus County, Florida","28.9019, -82.5992",IWR had assigned a WBID to this spring in the past.  SWFWMD showed this spring in their Web WMIS database.  Spring is also shown on several maps in late 1990's.  Cedar Cove Spring was not located on recent field visits in 2013. DATA_SRC also IMPAIRED WATERS RULE; There were two springs,Not Verified
CEDAR HEAD SPRING,Columbia,"Columbia County, Florida","29.98327778, -82.75872222",Spring          Low Impact,Not Verified
CEDAR ISLAND SPRING A (PASCO),Pasco,"Pasco County, Florida","28.366948, -82.69982283",Submarine spring discharging below sea level in coastal saltwater DJH 013121; 1960 had no observable flow but water temperature indicated it was occurring.,Not Verified
CEDAR ISLAND SPRING B (PASCO),Pasco,"Pasco County, Florida","28.366948, -82.699823",Submarine spring discharging below sea level in coastal saltwater DJH 013121; 1960 had no observable flow but water temperature indicated it was occurring.,Not Verified
CEDAR SPRING,Lake,"Lake County, Florida","28.8725, -81.44833333",Natural spring in Florida,Not Verified
CENTER RUN SPRING #1,Marion,"Marion County, Florida","29.24355028, -81.64545444",Natural spring in Florida,Not Verified
CENTER RUN SPRING #2,Marion,"Marion County, Florida","29.24371111, -81.64583639",Natural spring in Florida,Not Verified
CHAPLAIN SPRING,Hamilton,"Hamilton County, Florida","30.4182183, -83.20701022",Spring type is estavelle.  SRWMD 070115; Located on east bank of Withlacoochee River south of Morgan Spring,Not Verified
CHARLES SPRING,Suwannee,"Suwannee County, Florida","30.16722222, -83.23055556",Natural spring in Florida,Not Verified
CHARLIES FISH HOUSE SPRING,Citrus,"Citrus County, Florida","28.89925556, -82.59561944",Small Spring vent is located close to Charlie's Fish House restaurant and is tidal and has very low flow. djh 031521;,Not Verified
